"Rank","Name","Symbol","marketcap","price (USD)","country"
"228","Metro Mining","MMI.AX","270197551","0.0443083","Australia"
"229","Idaho Strategic Resources","IDR","268617824","19.11","United States"
"230","Nouveau Monde Graphite","NMG","266456736","1.75","Canada"
"231","HMS Bergbau","HMU.DE","260406438","57.3219","Germany"
"232","Magnetic Resources NL","MAU.AX","256154958","0.954584","Australia"
"233","Western Copper and Gold","WRN","256007680","1.28","Canada"
"234","Mount Gibson Iron","MGX.AX","253633595","0.215026","Australia"
"235","Contango Ore","CTGO","251572144","20.04","United States"
"236","Integra Resources","ITRG","248432944","1.47","Canada"
"237","Nordic Mining ASA","NOM.OL","243692333","2.24784","Norway"
"238","NioCorp Developments","NB","236206992","4.24","United States"
"239","Lithium Royalty Corp.","LIRC.TO","227427269","4.14009","Canada"
"240","Capital Limited","CAPD.L","225908435","1.14836","United Kingdom"
"241","Lubelski Wegiel Bogdanka","LWB.WA","225516299","6.63018","Poland"
"242","Prime Mining Corp.","PRYM.TO","224503500","1.47236","Canada"
"243","Aurelia Metals","AMI.AX","220573407","0.130319","Australia"
"244","International Tower Hill Mines","THM","220545184","1.0609","Canada"
"245","Strickland Metals Limited","STK.AX","213750049","0.094481","Australia"
"246","Platinum Group Metals","PLG","184542656","1.74","Canada"
"247","ioneer","IONR","181672496","3.06","Australia"
"248","Sierra Metals","SMT.TO","181170155","0.838223","Canada"
"249","American Battery Technology Company","ABAT","174870176","1.89","United States"
"250","Piedmont Lithium","PLL","164376288","7.49","Australia"
"251","Global Atomic","GLO.TO","163931953","0.532089","Canada"
"252","Vox Royalty","VOXR","159882672","3.15","Canada"
"253","U.S. Gold Corp","USAU","159007504","11.46","United States"
"254","GoldMining Inc.","GLDG","148306928","0.7551","Canada"
"255","AIC Mines Limited","A1M.AX","147469954","0.205252","Australia"
"256","Hycroft Mining","HYMC","140562752","3.75","United States"
"257","GreenX Metals","GRX.AX","140295987","0.488695","Australia"
"258","Grange Resources","GRR.AX","139511239","0.120545","Australia"
"259","Fenix Resources","FEX.AX","135219002","0.182446","Australia"
"260","Los Andes Copper","LA.V","131539018","4.45352","Canada"
"261","Polymetals Resources","POL.AX","127389209","0.475663","Australia"
"262","Vista Gold","VGZ","123582688","0.99","United States"
"263","Talga Group","TLG.AX","118579785","0.260637","Australia"
"264","Laramide Resources","LAM.TO","116969100","0.444623","Canada"
"265","Comstock Mining","LODE","116698320","3.6","United States"
"266","Majestic Gold","MJS.V","113997598","0.109333","Canada"
"267","Aeris Resources","AIS.AX","113568189","0.117287","Australia"
"268","Quantum Graphite","QGL.AX","111750776","0.319281","Australia"
"269","U.S. GoldMining","USGO","109452872","8.75","United States"
"270","Renascor Resources","RNU.AX","99425949","0.0390956","Australia"
"271","Arizona Metals","AMC.TO","98974742","0.721601","Canada"
"272","Aura Energy","AURA.L","97006576","0.0970354","Australia"
"273","Tanzanian Gold Corporation","TRX","95773000","0.339499","Canada"
"274","Encounter Resources","ENR.AX","94252738","0.188962","Australia"
"275","Scully Royalty","SRL","93528712","6.31","China"
"276","Ascot Resources","AOT.TO","91994161","0.0619556","Canada"
"277","Fury Gold Mines","FURY","88056024","0.5026","Canada"
"278","Forsys Metals","FSY.TO","85994566","0.408178","Canada"
"279","Mega Uranium","MGA.TO","75164930","0.200445","Canada"
"280","Alligator Energy","AGE.AX","72164752","0.0162898","Australia"
"281","Atlas Lithium","ATLX","70813688","3.97","United States"
"282","Silver One Resources","SVE.V","70557584","0.2624","Canada"
"283","Elevate Uranium","EL8.AX","66585150","0.172672","Australia"
"284","Peninsula Energy","PEN.AX","64636021","0.403988","Australia"
"285","Solitario Zinc","XPL","58394332","0.6502","United States"
"286","Nova Minerals","NVA","56154208","9.28","Australia"
"287","Westwater Resources","WWR","48012416","0.618","United States"
"288","Bear Creek Mining","BCM.V","44722445","0.153067","Canada"
"289","Orosur Mining","OMI.V","31995451","0.102045","Canada"
"290","Investigator Resources","IVR.AX","28225550","0.0162898","Australia"
"291","Almaden Minerals","AAU","20102876","0.1465","Canada"
"292","Austin Gold","AUST","17651494","1.33","United States"
"293","Toro Energy","TOE.AX","15283110","0.127061","Australia"
"294","Poseidon Nickel","POS.AX","13453850","0.00316484","Australia"
"295","Superior Resources","SPQ.AX","7724571","0.00325797","Australia"
"296","Auric Minerals","AUMC.CN","7311618","0.240534","Canada"
"297","GTI Energy","GTR.AX","7250159","0.00195478","Australia"
"298","Aurora Energy Metals","1AE.AX","5833844","0.0325797","Australia"
"299","Renegade Gold","RAGE.V","5676526","0.109333","Canada"
"300","Golden Minerals","AUMN","3662395","0.2433","United States"
"301","Sabre Resources","SBR.AX","2570287","0.00651593","Australia"
